Date,Open,High,Low,Close,Volume
2018-12-31,113.23,113.55,112.21,112.88,189943
2018-12-28,112.76,114.02,112.59,113.14,184412
2018-12-27,110.28,112.3,110.01,112.3,236948
2018-12-26,109.44,110.75,108.06,110.59,401647
2018-12-24,110.32,110.44,108.49,108.73,345345
2018-12-21,112.44,113.01,110.76,110.82,390416
2018-12-20,115.72,116.23,114.15,115.18,181928
2018-12-19,117.19,118.63,115.59,116.09,214134
2018-12-18,117.55,117.93,116.54,116.71,186886
2018-12-17,116.7,117.19,115.84,116.25,194491
2018-12-14,117.01,117.69,116.6,116.79,135695
2018-12-13,118.19,118.19,117.05,117.45,223585
2018-12-12,118.98,119.51,118.5,118.54,149529
2018-12-11,117.36,117.81,116.64,117.09,331167
2018-12-10,117.71,117.93,116.26,117.61,353942
2018-12-07,118.3,118.66,116.11,116.67,211969
2018-12-06,116.95,118.49,116.12,118.48,364694
2018-12-04,118.9,119.46,117.0,117.55,281199
2018-12-03,119.86,120.41,119.73,120.11,268358
2018-11-30,117.47,118.23,117.47,118.13,200203
2018-11-29,118.17,118.95,118.03,118.43,129175
2018-11-28,117.29,118.23,116.29,118.23,289068
2018-11-27,118.53,118.78,117.35,117.67,333111
2018-11-26,117.23,117.97,117.22,117.93,153625
2018-11-23,116.22,116.66,116.03,116.41,137757
2018-11-21,115.94,116.79,115.65,115.97,235140
2018-11-20,114.69,115.04,113.75,114.06,292953
2018-11-19,115.08,115.19,113.64,113.91,235130
2018-11-16,112.63,114.02,112.61,113.74,123790
2018-11-15,113.14,114.07,112.72,113.77,189999
2018-11-14,113.74,114.4,113.17,113.66,254026
2018-11-13,112.32,112.91,111.64,111.93,257195
2018-11-12,113.98,114.07,112.21,112.39,305429
2018-11-09,114.12,114.32,113.49,114.01,137736
2018-11-08,114.56,114.91,113.7,114.06,282210
2018-11-07,114.96,116.18,114.81,116.03,264202
2018-11-06,114.04,114.62,113.52,114.34,259385
2018-11-05,111.92,112.76,111.92,112.23,248786
2018-11-02,113.77,114.11,111.39,112.28,408796
2018-11-01,113.68,114.56,113.1,114.45,283275
2018-10-31,113.99,114.47,113.65,113.82,245153
2018-10-30,112.02,113.19,111.83,113.04,321977
2018-10-29,112.61,114.76,110.99,112.13,443911
2018-10-26,112.8,114.94,112.55,114.07,213611
2018-10-25,112.37,114.06,112.0,113.45,344173
2018-10-24,113.47,113.5,111.25,111.41,444241
2018-10-23,112.59,115.3,112.39,114.72,320448
2018-10-22,115.47,115.48,113.19,113.87,245466
2018-10-19,113.6,114.16,112.83,113.12,198864
2018-10-18,114.66,115.13,113.31,113.46,236486
2018-10-17,114.76,114.81,113.72,114.48,230871
2018-10-16,113.98,114.98,113.71,114.79,283415
2018-10-15,112.18,112.81,111.79,112.45,336236
2018-10-12,114.07,114.21,112.64,113.54,327562
2018-10-11,114.54,115.22,112.58,113.53,300642
2018-10-10,116.42,116.6,114.53,114.53,467325
2018-10-09,116.4,116.87,115.9,116.62,187901
2018-10-08,118.24,118.53,117.06,118.37,185144
2018-10-05,119.47,119.47,118.02,118.15,280223
2018-10-04,119.32,119.58,118.19,118.81,143464
2018-10-03,119.58,119.94,119.05,119.32,197443
2018-10-02,122.07,122.55,121.98,122.24,182110
2018-10-01,121.16,121.6,120.99,121.38,151384
2018-09-28,121.08,121.55,120.76,120.93,172039
2018-09-27,121.36,121.9,120.96,121.17,155457
2018-09-26,119.99,120.33,119.38,120.18,282273
2018-09-25,120.35,120.62,119.82,119.92,176907
2018-09-24,119.4,119.72,118.81,119.08,122794
2018-09-21,119.71,119.99,119.38,119.78,118700
2018-09-20,120.44,120.9,119.75,119.99,141639
2018-09-19,120.02,120.66,120.02,120.35,136349
2018-09-18,119.44,120.33,119.34,120.07,277951
2018-09-17,117.8,118.14,117.55,117.62,153435
2018-09-14,117.84,117.96,117.22,117.43,137033
2018-09-13,116.91,117.55,116.78,117.12,156123
2018-09-12,115.05,115.55,114.9,115.16,115039
2018-09-11,115.3,115.32,114.78,115.17,179344
2018-09-10,114.81,114.92,114.41,114.44,108944
2018-09-07,114.82,115.02,114.31,114.56,198490
2018-09-06,115.72,115.72,114.58,115.42,142206
